fare_amount,fare_class,passenger_count,distance_in_kms,Weekday_name,Hour,Month_Day
9.3,0,1,3.61,2,2,18
7.3,0,1,2.92,4,22,14
26.9,1,1,11.01,2,19,11
49.57,1,1,22.44,4,12,21
9.7,0,1,3.31,4,13,21
6.9,0,1,2.74,1,15,19
7.7,0,1,2.76,4,7,21
6.5,0,1,1.37,4,15,14
7.7,0,1,2.92,7,7,16
7.3,0,1,2.3,6,8,22
5.3,0,1,1.48,4,22,21
4.9,0,1,0.85,3,7,13
7.3,0,3,1.44,3,15,20
8.9,0,1,3.04,2,12,11
4.1,0,2,0.88,3,11,20
16.1,1,1,4.18,4,14,21
16.9,1,1,4.72,1,10,19
5.3,0,1,1.06,3,16,13
6.9,0,2,1.94,5,21,17
4.1,0,1,0.7,3,15,20
5.7,0,1,1.34,6,9,15
6.1,0,1,1.56,2,21,11
8.5,0,1,2.36,4,14,14
8.9,0,2,1.74,7,22,23
14.5,1,1,7.22,7,3,23
16.9,1,1,6.47,6,23,22
38.67,1,1,11.0,7,15,16
9.7,0,2,2.81,1,10,19
8.9,0,2,3.62,5,11,24
5.3,0,1,2.1,7,6,16
6.1,0,1,1.5,5,20,17
11.3,1,3,0.56,5,1,17
6.5,0,1,2.57,4,10,21
3.3,0,5,0.42,3,12,20
6.5,0,1,2.05,7,21,23
7.3,0,1,1.88,3,14,13
5.3,0,1,1.24,5,22,17
4.9,0,1,1.05,2,5,18
5.3,0,1,1.54,1,20,19
8.5,0,1,2.18,4,17,14
6.9,0,1,2.22,2,0,25
9.7,0,5,4.1,2,0,25
5.7,0,2,1.17,7,14,23
4.9,0,1,1.3,3,18,13
8.1,0,2,3.16,3,16,13
3.3,0,1,0.66,5,11,24
3.3,0,1,0.74,7,11,23
7.3,0,1,3.08,3,7,20
14.9,1,1,3.64,3,14,13
13.3,1,4,4.55,3,14,20
8.5,0,1,2.3,4,10,14
8.1,0,1,2.61,6,14,15
6.5,0,1,0.89,4,11,14
16.5,1,2,6.84,6,12,15
7.7,0,1,3.16,3,18,20
45.0,1,2,20.07,4,7,21
8.9,0,1,2.56,6,9,15
16.1,1,1,6.5,5,8,24
5.3,0,1,1.6,3,16,20
7.3,0,1,1.87,4,13,14
10.9,1,1,2.76,6,18,22
15.3,1,1,7.43,1,22,19
7.3,0,1,1.93,5,14,17
7.7,0,1,2.02,3,8,20
8.1,0,1,2.58,5,10,17
4.5,0,1,0.79,4,18,21
7.7,0,1,1.78,3,21,13
4.1,0,1,1.06,7,13,16
9.3,0,1,2.45,3,18,13
5.7,0,1,0.84,6,19,22
15.3,1,1,4.21,6,12,15
22.27,1,2,8.66,7,4,23
18.9,1,1,6.22,6,12,22
16.1,1,1,5.25,3,10,13
11.3,1,1,2.83,4,14,21
6.1,0,1,1.53,1,17,19
8.1,0,1,2.58,1,17,19
8.9,0,1,1.91,4,19,21
10.9,1,1,4.12,7,12,16
8.9,0,1,2.16,5,21,17
8.5,0,1,2.79,5,17,17
34.1,1,2,14.62,7,20,23
8.1,0,1,3.74,1,3,19
49.57,1,1,20.93,1,22,19
6.1,0,2,1.36,6,17,22
4.9,0,1,1.49,3,19,13
9.3,0,1,2.27,6,18,15
3.3,0,1,0.76,2,17,18
9.7,0,3,3.25,5,11,24
6.5,0,1,2.26,1,20,12
4.1,0,1,0.81,5,17,17
4.9,0,2,0.79,1,14,19
5.7,0,1,1.59,3,11,13
14.1,1,1,3.85,5,19,24
6.1,0,1,2.02,5,10,17
16.9,1,1,6.59,7,1,23
19.3,1,1,7.86,4,18,21
7.3,0,1,3.98,6,1,22
4.5,0,1,0.84,1,12,12
7.7,0,1,2.57,3,19,20
15.3,1,2,6.03,2,13,18
8.5,0,2,2.28,6,18,15
25.87,1,2,7.75,7,6,16
8.9,0,1,3.35,3,8,13
7.7,0,1,2.14,3,0,20
5.7,0,1,1.77,1,14,12
10.1,1,2,3.53,7,15,23
7.3,0,1,1.05,1,17,12
4.1,0,1,0.6,5,11,24
7.7,0,1,1.61,1,9,19
3.7,0,1,1.0,2,0,25
11.3,1,2,4.65,6,19,22
45.0,1,1,19.92,2,6,18
5.3,0,1,2.09,3,9,13
3.7,0,2,0.79,7,0,16
4.9,0,1,1.45,3,20,13
8.5,0,1,2.35,1,7,12
6.5,0,1,1.57,1,16,19
8.1,0,1,2.83,7,6,16
3.7,0,2,0.53,3,13,20
6.1,0,1,1.53,2,18,18
7.3,0,1,2.06,6,23,15
16.5,1,1,6.41,7,14,16
7.7,0,2,2.29,7,15,16
8.5,0,1,3.71,3,20,13
6.9,0,1,0.55,4,15,14
5.7,0,2,1.69,6,13,15
7.3,0,1,2.9,1,15,19
7.7,0,1,2.1,6,13,22
12.1,1,1,4.61,4,9,14
5.3,0,1,0.93,2,0,18
3.7,0,1,0.89,1,13,12
5.3,0,1,1.8,3,20,20
5.3,0,1,1.3,7,6,23
6.1,0,1,1.38,2,16,18
43.3,1,2,18.87,1,18,12
11.7,1,1,6.1,3,2,20
37.2,1,1,9.28,1,9,19
10.9,1,1,3.65,7,7,16
11.3,1,1,2.73,4,9,14
18.5,1,2,9.78,7,5,23
31.47,1,1,13.02,7,7,16
5.3,0,1,1.27,3,20,20
27.07,1,1,7.92,7,10,23
4.5,0,1,0.88,2,21,11
9.7,0,1,3.1,1,13,12
7.7,0,1,2.13,3,8,20
4.9,0,1,1.56,6,4,15
28.1,1,1,11.86,7,21,23
9.7,0,5,3.43,2,11,11
3.7,0,1,0.63,1,21,19
6.5,0,1,2.51,3,16,20
3.7,0,1,0.46,3,19,20
6.9,0,1,2.59,1,22,12
12.1,1,1,3.78,2,15,11
4.5,0,2,0.71,7,19,23
7.3,0,1,2.6,2,14,18
15.3,1,1,6.44,5,13,17
4.5,0,1,0.74,7,7,16
20.5,1,1,9.85,5,1,24
11.3,1,1,4.1,5,2,17
8.5,0,4,2.22,1,16,19
14.5,1,2,6.78,5,20,24
12.1,1,1,5.56,5,11,17
7.7,0,1,1.94,1,17,19
11.3,1,1,4.4,6,19,15
10.5,1,1,4.49,4,16,14
10.5,1,1,3.35,2,4,11
14.1,1,1,6.62,2,13,18
10.9,1,1,3.5,2,20,18
6.9,0,1,1.79,5,12,17
8.9,0,1,2.92,4,19,14
7.7,0,1,2.28,7,11,23
8.1,0,4,2.29,4,17,21
4.9,0,2,1.05,1,15,19
3.7,0,1,0.8,6,12,22
6.9,0,1,1.84,7,16,16
45.0,1,2,20.26,5,15,24
6.5,0,1,1.75,4,14,14
6.9,0,2,1.32,2,1,25
6.1,0,2,1.52,2,16,11
10.1,1,2,3.09,2,10,11
8.1,0,2,2.21,5,13,24
14.5,1,1,5.15,2,16,18
9.3,0,1,3.46,2,3,18
10.1,1,1,3.98,7,8,23
7.3,0,4,2.0,5,4,17
7.7,0,1,2.83,6,9,15
8.9,0,1,5.13,2,0,25
6.9,0,1,1.88,4,20,14
4.9,0,1,1.5,3,6,20
6.1,0,1,1.39,1,7,12
9.3,0,3,3.42,7,17,23
7.3,0,1,2.63,1,11,19
13.7,1,1,5.06,6,12,15
9.3,0,1,2.16,6,16,15
20.9,1,1,8.91,5,0,24
6.5,0,2,2.86,2,7,11
6.5,0,1,2.14,5,14,17
4.5,0,4,1.0,5,0,24
6.9,0,2,1.27,3,16,13
10.1,1,1,3.75,5,10,17
10.5,1,1,4.85,6,22,15
4.5,0,1,0.79,1,20,19
6.5,0,1,1.71,5,22,17
4.1,0,1,0.87,3,19,20
15.7,1,2,5.9,6,18,15
4.5,0,1,1.08,6,18,22
4.9,0,2,1.36,5,23,17
9.7,0,1,2.03,2,1,25
3.3,0,1,0.39,3,10,20
6.5,0,3,2.19,7,20,16
10.9,1,2,4.6,5,0,17
10.9,1,1,1.99,2,16,18
8.5,0,3,1.58,5,18,17
32.27,1,1,13.5,2,10,18
6.5,0,2,1.65,2,15,11
9.3,0,3,3.64,3,7,13
9.7,0,3,3.19,1,20,12
6.1,0,1,1.13,7,7,23
8.1,0,2,2.58,5,23,17
5.7,0,4,2.02,7,20,16
6.1,0,2,0.58,5,18,24
5.7,0,1,0.35,7,19,16
4.9,0,1,1.35,3,8,20
12.5,1,1,1.99,4,9,21
10.1,1,1,4.1,1,2,12
4.1,0,1,0.86,6,9,15
5.3,0,1,1.37,1,22,19
4.1,0,1,0.88,3,7,13
4.1,0,1,1.19,5,13,17
19.7,1,1,6.62,6,22,15
5.3,0,1,1.37,4,14,14
10.5,1,1,4.76,1,21,19
21.3,1,1,5.55,2,11,18
4.5,0,2,1.02,5,17,17
4.1,0,1,0.82,4,14,21
8.1,0,1,3.54,6,21,22
2.5,0,1,0.07,3,9,20
6.9,0,1,1.42,4,12,21
6.1,0,1,1.47,3,11,20
4.5,0,1,1.19,4,17,21
5.7,0,1,0.65,4,17,14
9.3,0,1,3.52,5,1,24
6.9,0,1,2.39,2,10,11
9.3,0,4,3.14,5,9,17
8.9,0,3,1.62,3,8,13
5.7,0,1,0.76,1,11,12
4.9,0,1,0.97,6,3,22
7.3,0,1,1.58,5,21,24
6.9,0,2,1.14,1,0,12
7.7,0,3,2.04,5,14,17
12.9,1,1,5.96,1,20,12
17.7,1,1,9.34,3,4,13
6.1,0,4,1.06,4,17,21
4.5,0,1,1.34,5,16,24
41.39,1,1,17.89,5,2,24
4.1,0,1,0.9,5,8,17
7.7,0,1,2.59,5,11,17
12.9,1,1,3.98,6,7,22
4.5,0,1,1.04,7,19,16
11.7,1,2,2.39,5,0,24
5.3,0,1,1.54,5,9,17
8.9,0,1,3.87,4,22,14
4.5,0,1,0.88,6,15,15
9.7,0,1,3.92,2,15,11
7.3,0,1,2.65,6,18,22
6.1,0,1,2.52,4,12,21
7.7,0,2,2.34,1,17,19
8.9,0,1,2.88,6,11,22
5.7,0,1,1.63,6,15,15
4.1,0,1,0.5,1,14,19
11.7,1,1,3.5,5,11,17
7.3,0,1,2.33,3,16,20
6.9,0,1,2.53,6,10,15
8.5,0,1,3.87,5,2,17
5.3,0,1,1.63,1,21,19
7.7,0,1,2.82,4,0,21
4.1,0,1,0.68,4,18,21
6.9,0,1,2.18,2,2,25
6.1,0,1,0.98,4,15,14
8.9,0,1,2.43,1,20,19
6.1,0,1,1.8,7,7,16
16.5,1,1,7.13,3,18,13
4.1,0,1,0.97,5,15,24
7.7,0,1,2.16,1,12,19
10.9,1,2,3.15,2,0,18
5.3,0,2,1.05,3,5,13
11.3,1,1,5.44,4,21,21
3.7,0,1,0.41,6,16,15
4.5,0,1,1.12,7,15,16
7.7,0,2,1.6,7,19,16
8.9,0,1,3.79,5,22,17
33.870000000000005,1,1,10.3,6,13,22
8.1,0,1,2.59,5,19,17
17.3,1,1,3.7,2,17,11
8.1,0,1,2.35,4,1,21
10.9,1,1,3.17,5,14,17
4.1,0,1,0.26,4,16,14
3.7,0,1,0.29,7,22,16
6.9,0,1,1.91,3,21,20
12.5,1,1,4.63,2,0,18
6.5,0,1,2.21,6,8,15
7.7,0,1,3.12,2,23,18
2.9,0,1,0.49,7,14,23
31.87,1,1,9.51,3,8,13
49.57,1,2,20.0,3,14,13
5.7,0,2,1.82,7,20,23
4.9,0,2,0.87,7,19,23
8.5,0,1,3.4,7,14,23
8.1,0,1,1.6,3,10,20
3.7,0,1,0.75,7,8,16
15.7,1,1,8.53,1,20,19
4.1,0,1,0.6,5,13,24
6.9,0,1,1.68,7,18,16
6.9,0,1,0.78,1,16,19
9.7,0,1,3.28,6,19,22
3.7,0,1,0.66,3,10,20
11.3,1,1,4.18,3,7,20
10.5,1,1,2.69,2,10,18
3.7,0,1,0.99,1,12,12
12.1,1,1,5.72,4,0,14
7.3,0,1,2.61,1,16,12
6.9,0,1,1.79,6,20,15
7.3,0,1,2.85,4,8,21
6.1,0,1,1.17,6,21,22
5.7,0,1,2.74,2,19,11
6.1,0,1,2.0,6,10,15
4.9,0,1,1.53,1,19,12
22.5,1,3,10.05,2,8,11
4.9,0,1,1.69,6,11,22
5.7,0,1,1.47,7,21,16
6.5,0,1,1.09,2,17,18
3.3,0,1,0.32,5,2,17
6.1,0,1,1.53,5,21,17
4.1,0,1,0.71,2,2,25
5.7,0,1,1.56,2,11,18
6.5,0,1,2.62,2,9,11
8.9,0,2,2.23,7,14,23
14.1,1,1,4.45,5,1,24
6.1,0,3,0.94,5,12,24
10.1,1,1,3.71,4,3,21
6.5,0,1,0.2,4,10,14
3.7,0,1,1.07,5,14,24
14.5,1,1,5.96,7,1,16
5.7,0,1,1.64,6,19,22
7.3,0,1,1.26,6,11,15
20.9,1,2,11.45,7,21,23
28.1,1,2,10.85,6,22,22
3.3,0,1,0.89,3,11,20
10.9,1,2,4.6,5,20,17
10.9,1,2,3.33,7,18,23
10.1,1,1,3.99,3,1,13
4.9,0,1,1.22,5,15,17
6.9,0,1,1.81,4,14,21
4.9,0,1,1.34,1,15,19
3.3,0,1,0.49,2,21,18
7.3,0,5,1.14,4,12,21
5.3,0,1,1.2,6,11,15
14.5,1,1,5.8,2,19,11
8.1,0,1,2.38,2,16,11
5.7,0,1,1.8,1,21,19
9.7,0,1,1.06,6,19,22
6.9,0,1,2.29,6,17,22
5.7,0,1,1.03,4,11,21
3.3,0,1,0.52,2,3,18
15.7,1,1,8.01,1,11,19
4.1,0,1,0.62,6,18,22
8.1,0,2,2.91,3,23,20
26.5,1,2,16.14,4,0,14
6.9,0,1,1.14,5,15,24
4.1,0,5,1.21,2,10,18
4.1,0,1,0.52,2,10,11
7.7,0,1,2.67,4,17,14
8.5,0,1,3.18,4,13,14
11.7,1,1,2.2,7,9,16
12.9,1,1,3.82,6,8,22
14.1,1,1,5.27,5,16,17
12.9,1,2,6.15,5,2,17
4.1,0,1,0.8,5,12,17
23.3,1,1,10.45,7,9,16
7.7,0,1,3.07,6,9,22
5.3,0,1,1.42,2,20,18
6.1,0,1,1.44,3,7,20
6.1,0,2,1.66,2,14,11
3.7,0,1,0.51,4,9,21
27.47,1,2,9.13,2,18,18
33.870000000000005,1,1,9.44,6,13,22
4.9,0,1,1.11,4,20,21
6.5,0,1,1.28,3,7,13
13.3,1,1,5.3,6,20,22
7.7,0,1,2.87,2,3,18
13.7,1,1,3.17,6,8,15
5.7,0,1,1.39,1,13,19
10.5,1,1,3.89,6,17,15
6.5,0,1,2.09,1,10,12
19.07,1,2,4.83,6,18,15
7.7,0,1,3.4,7,10,23
4.1,0,1,0.86,1,18,19
28.67,1,1,11.36,7,8,16
5.7,0,1,1.59,7,0,16
12.9,1,1,3.2,7,20,23
14.5,1,1,5.02,1,8,12
19.9,1,1,1.14,4,14,14
3.3,0,1,0.39,7,12,23
11.7,1,1,4.44,6,23,22
6.9,0,2,1.88,5,10,24
8.1,0,1,2.58,7,5,23
5.3,0,1,1.57,4,19,14
7.3,0,1,1.44,2,10,11
8.9,0,1,2.48,3,14,20
14.1,1,1,3.77,6,12,15
5.3,0,4,1.12,2,3,25
5.3,0,1,1.89,1,20,19
10.5,1,2,2.56,3,18,13
5.3,0,1,1.45,3,20,20
49.57,1,1,22.59,5,19,24
12.67,1,1,7.24,1,14,19
5.7,0,2,1.67,4,10,21
5.3,0,1,1.14,2,22,18
5.3,0,2,1.07,3,20,13
6.5,0,1,1.82,1,20,19
10.9,1,2,3.43,2,3,18
20.5,1,1,9.91,1,23,19
4.9,0,1,0.99,7,18,16
8.5,0,1,4.79,6,6,15
8.1,0,1,3.08,4,8,21
3.3,0,1,0.7,3,6,20
4.5,0,1,1.02,1,5,19
4.9,0,1,0.33,1,14,12
8.1,0,1,2.13,1,9,19
5.3,0,2,1.36,7,13,16
30.67,1,1,9.21,4,6,14
20.9,1,2,7.21,5,19,17
4.5,0,1,1.13,5,20,17
4.9,0,5,0.76,4,17,21
5.3,0,1,1.33,7,6,23
14.9,1,2,1.56,2,22,11
20.1,1,1,6.41,6,12,15
7.7,0,2,2.63,6,7,15
10.1,1,1,3.37,1,10,12
7.7,0,1,0.72,4,11,21
10.5,1,3,3.12,5,17,17
16.1,1,1,9.5,3,10,13
17.7,1,1,7.11,5,8,24
7.3,0,1,1.37,1,17,12
8.1,0,1,2.07,3,7,20
15.7,1,1,2.43,3,16,13
15.7,1,1,6.39,6,21,22
4.1,0,1,1.31,1,15,12
7.3,0,1,2.29,6,20,22
7.3,0,2,2.16,6,20,15
2.9,0,1,0.46,6,9,22
4.9,0,1,1.14,4,11,14
6.9,0,2,1.99,2,2,25
8.9,0,2,4.08,7,1,23
6.5,0,1,2.0,7,23,23
6.5,0,1,1.87,2,13,11
4.9,0,1,0.83,2,1,25
12.9,1,1,4.62,4,17,21
12.5,1,1,3.42,3,1,13
9.7,0,1,3.97,3,8,13
6.5,0,1,1.72,2,16,11
5.7,0,1,2.06,2,11,18
8.9,0,1,2.28,3,11,20
10.5,1,1,3.03,6,16,22
3.7,0,1,0.95,4,14,14
6.5,0,1,2.22,2,8,18
8.5,0,1,2.57,7,16,23
4.1,0,1,0.66,4,15,21
8.5,0,2,1.87,6,18,15
5.3,0,1,1.62,4,7,21
7.3,0,2,2.52,5,14,17
6.5,0,5,1.82,3,23,13
4.1,0,1,0.61,1,13,12
10.1,1,1,5.5,2,10,11
4.1,0,1,2.97,5,10,24
5.3,0,1,0.4,7,15,23
10.1,1,2,2.43,6,23,15
5.3,0,1,0.95,7,9,16
6.5,0,1,0.98,5,16,17
14.9,1,4,6.28,5,22,17
4.5,0,1,0.84,2,11,11
9.7,0,1,2.66,3,16,20
11.7,1,2,3.95,1,18,12
4.5,0,1,1.02,2,12,18
5.3,0,1,0.94,5,1,17
13.3,1,4,5.75,6,2,22
7.7,0,1,3.92,6,21,22
12.5,1,1,3.51,2,11,18
10.9,1,1,3.48,7,21,16
8.9,0,1,3.15,4,13,21
4.9,0,1,1.48,5,0,24
49.0,1,1,20.28,3,19,13
4.9,0,2,0.58,5,20,24
7.7,0,3,2.31,5,1,24
4.9,0,1,1.14,1,19,12
5.3,0,1,2.39,3,0,20
7.3,0,1,3.18,2,19,18
5.7,0,1,1.68,7,8,23
29.07,1,1,8.67,7,8,23
22.1,1,1,9.39,2,23,18
12.9,1,1,4.71,6,11,15
14.9,1,1,4.71,3,11,20
5.7,0,1,1.81,4,6,14
9.7,0,1,3.53,2,20,18
4.5,0,1,0.87,7,12,16
8.9,0,1,1.0,1,10,12
5.3,0,1,1.24,1,12,19
7.7,0,2,1.93,6,10,15
7.3,0,1,2.52,1,9,19
7.7,0,1,2.96,6,19,15
7.3,0,1,2.5,7,18,16
4.9,0,1,1.51,1,11,12
9.7,0,1,3.6,5,9,17
8.9,0,1,2.39,3,18,20
25.87,1,5,9.87,7,14,23
3.3,0,1,0.53,7,20,23
7.3,0,1,2.0,6,18,22
8.1,0,1,2.34,1,16,19
5.7,0,1,1.54,4,9,21
6.1,0,1,1.7,6,22,22
10.9,1,1,2.91,6,12,22
3.7,0,1,0.51,5,17,24
4.5,0,1,2.22,5,10,17
